age_range,population,youngest,oldest
Under 5 years,115403,0,4
5 to 9 years,153900,5,9
10 to 14 years,189662,10,14
15 to 19 years,208460,15,19
20 to 24 years,224534,20,24
25 to 29 years,203972,25,29
30 to 34 years,181558,30,34
35 to 39 years,188853,35,39
40 to 44 years,206339,40,44
45 to 49 years,204546,45,49
50 to 54 years,208377,50,54
55 to 59 years,215519,55,59
60 to 64 years,212906,60,64
65 to 69 years,193754,65,69
70 to 74 years,172738,70,74
75 to 79 years,130418,75,79
80 to 84 years,95927,80,84
85 years and over,86828,85,