bioportal_age_range,acs_age_range,acs_youngest
0 to 4,Under 5 years,0
5 to 9,5 to 9 years,5
10 to 14,10 to 14 years,10
15 to 19,15 to 19 years,15
20 to 24,20 to 24 years,20
25 to 29,25 to 29 years,25
30 to 34,30 to 34 years,30
35 to 39,35 to 39 years,35
40 to 44,40 to 44 years,40
45 to 49,45 to 49 years,45
50 to 54,50 to 54 years,50
55 to 59,55 to 59 years,55
60 to 64,60 to 64 years,60
65 to 69,65 to 69 years,65
70 to 74,70 to 74 years,70
75 to 79,75 to 79 years,75
80 to 84,80 to 84 years,80
85 to 89,85 years and over,85
90 to 94,85 years and over,85
95 to 99,85 years and over,85
100 to 104,85 years and over,85
105 to 109,85 years and over,85
110 to 114,85 years and over,85
115 to 119,85 years and over,85
120 to 124,85 years and over,85
125 to 129,85 years and over,85