name,popest2019
Adjuntas,17363
Aguada,36694
Aguadilla,50265
Aguas Buenas,24814
Aibonito,22108
Añasco,26161
Arecibo,81966
Arroyo,17238
Barceloneta,23727
Barranquitas,27725
Bayamón,169269
Cabo Rojo,47515
Caguas,124606
Camuy,30504
Canóvanas,44674
Carolina,146984
Cataño,23121
Cayey,42409
Ceiba,10904
Ciales,15808
Cidra,38307
Coamo,38336
Comerío,18648
Corozal,32293
Culebra,1714
Dorado,36141
Fajardo,29454
Florida,11317
Florida (estado),
Guánica,15383
Guayama,39465
Guayanilla,17623
Guaynabo,83728
Gurabo,47093
Hatillo,39218
Hormigueros,15518
Humacao,50653
Isabela,40423
Jayuya,13891
Juana Díaz,44679
Juncos,38155
Lajas,22010
Lares,24276
Las Marías,7927
Las Piedras,37007
Loíza,24553
Luquillo,17665
Manatí,37287
Maricao,5430
Maunabo,10321
Mayagüez,71530
Moca,34891
Morovis,30335
Naguabo,25761
Naranjito,27349
Nueva Jersey,
Nueva York,
Orocovis,20220
Patillas,16211
Peñuelas,19249
Ponce,131881
Quebradillas,22918
Rincón,13656
Río Grande,48025
Sabana Grande,21712
Salinas,27128
San Germán,30227
San Juan,318441
San Lorenzo,35989
San Sebastián,35528
Santa Isabel,21209
Toa Alta,72025
Toa Baja,74271
Trujillo Alto,63674
Utuado,27395
Vega Alta,36061
Vega Baja,50023
Vieques,8386
Villalba,21372
Yabucoa,32282
Yauco,33575
Otro lugar fuera de PR,
No disponible,
Total,3193694