reporting_date,laboratory,cumulative_molecular_tests,cumulative_positive_molecular_tests,new_molecular_tests,new_positive_molecular_tests,current_molecular_capacity_per_week
2020-05-05,Borinquen,1864,13,1510,10,3000
2020-05-10,Borinquen,,,1906,10,3000
2020-05-17,Borinquen,7497,,2500,12,3000
2020-05-24,Borinquen,9205,40,1692,2,3000
2020-05-31,Borinquen,11649,46,2755,1,3000
2020-06-07,Borinquen,15513,46,4218,5,3000
2020-06-14,Borinquen,21232,59,4568,8,3000
2020-06-21,Borinquen,24326,67,4215,13,3000
2020-06-28,Borinquen,30068,105,4376,30,3000
2020-05-25,Core Plus,3098,7,1459,5,1288
2020-05-31,Core Plus,4953,12,1855,5,1288
2020-06-07,Core Plus,6622,11,1669,5,1288
2020-06-14,Core Plus,7848,18,2023,10,1288
2020-06-21,Core Plus,7848,18,,,1288
2020-06-28,Core Plus,7848,18,,,1288
2020-05-31,HRP,1000,,150,,
2020-06-07,HRP,1000,,,,
2020-06-14,HRP,1000,,,,
2020-06-21,HRP,1000,,,,
2020-06-28,HRP,1000,,,,
2020-04-19,Immuno Reference,16,1,16,1,
2020-04-26,Immuno Reference,660,15,644,14,
2020-05-03,Immuno Reference,1586,25,926,14,1288
2020-05-10,Immuno Reference,1959,43,989,5,1288
2020-05-16,Immuno Reference,5408,70,2700,13,1288
2020-05-24,Immuno Reference,9125,81,3717,11,1288
2020-05-31,Immuno Reference,12578,88,3453,7,1288
2020-06-07,Immuno Reference,12578,88,,,1288
2020-06-14,Immuno Reference,19541,101,3420,8,1288
2020-06-21,Immuno Reference,22496,115,2955,14,1288
2020-06-28,Immuno Reference,36653,149,4160,34,8832
2020-04-19,Ponce,,,52,,
2020-04-26,Ponce,173,,96,,
2020-05-03,Ponce,534,16,280,4,1000
2020-05-10,Ponce,797,18,523,3,800
2020-05-17,Ponce,2166,28,734,6,800
2020-05-23,Ponce,2848,32,685,4,800
2020-05-30,Ponce,4894,32,775,1,800
2020-06-06,Ponce,5897,35,1002,3,1000
2020-06-13,Ponce,6805,41,634,6,1000
2020-06-19,Ponce,7507,42,192,1,1000
2020-06-27,Ponce,8002,45,344,3,1000
2020-05-17,PRDoH,,,,,400
2020-05-24,PRDoH,,,,,400
2020-05-31,PRDoH,,,,,400
2020-06-07,PRDoH,,,,,400
2020-06-14,PRDoH,,,,,400
2020-06-21,PRDoH,,,,,400
2020-06-28,PRDoH,,,,,400
2020-03-27,Quest,,,638,77,
2020-04-10,Quest,,,1442,98,
2020-04-24,Quest,,,2854,108,
2020-05-01,Quest,6005,311,2706,54,2400
2020-05-07,Quest,13135,386,10355,92,3000
2020-05-14,Quest,22599,414,9464,28,3000
2020-05-26,Quest,31768,480,9169,76,3000
2020-05-31,Quest,38543,509,7250,47,3000
2020-06-07,Quest,49447,563,10904,54,3000
2020-06-14,Quest,59548,595,10101,33,3000
2020-06-21,Quest,69180,622,9632,35,3000
2020-06-28,Quest,78020,697,8840,53,3000
2020-03-29,Toledo,1440,77,1440,77,
2020-04-05,Toledo,3195,207,1755,130,
2020-04-12,Toledo,6177,343,2982,136,
2020-04-19,Toledo,9036,466,2859,123,
2020-04-26,Toledo,13042,601,4006,135,
2020-05-03,Toledo,17061,677,4095,76,4500
2020-05-10,Toledo,22311,756,5250,79,4500
2020-05-17,Toledo,25860,779,3643,25,4500
2020-05-24,Toledo,33724,808,6649,11,4500
2020-05-31,Toledo,38702,827,4978,19,4500
2020-06-07,Toledo,44593,860,5891,26,4500
2020-06-14,Toledo,51093,868,6500,17,4500
2020-06-21,Toledo,59296,888,5203,18,4500
2020-06-28,Toledo,64520,961,8224,73,4500