municipality,fips,households,households_error_pct,households_lt_10k_pct,households_lt_10k_error_pct,households_10k_15k_pct,households_10k_15k_error_pct,households_15k_25k_pct,households_15k_25k_error_pct,households_25k_35k_pct,households_25k_35k_error_pct,households_35k_50k_pct,households_35k_50k_error_pct,households_50k_75k_pct,households_50k_75k_error_pct,households_75k_100k_pct,households_75k_100k_error_pct,households_100k_150k_pct,households_100k_150k_error_pct,households_150k_200k_pct,households_150k_200k_error_pct,households_gte_200k_pct,households_gte_200k_error_pct,households_median,households_median_error,households_mean,households_mean_error
Adjuntas,72001,5771,196,37.4,3.9,15.4,2.9,17.1,2.9,12.0,2.5,10.7,2.6,5.3,1.5,0.9,0.6,0.8,0.8,0.3,0.5,0.1,0.1,14012,1363,20353,1820
Aguada,72003,12830,445,30.1,2.8,15.5,2.5,18.9,2.3,12.9,2.3,9.7,2.2,6.9,1.7,3.1,1.3,2.2,1.1,0.8,0.5,0.0,0.3,16738,1260,25777,1711
Aguadilla,72005,21635,524,34.0,1.9,13.3,1.6,16.2,1.7,11.0,1.5,10.2,1.5,9.1,1.6,3.1,0.9,2.1,0.6,0.3,0.3,0.5,0.3,16269,955,27068,1681
Aguas Buenas,72007,8488,319,26.9,3.7,13.6,3.2,19.7,3.5,12.8,2.8,13.2,2.9,9.5,2.1,1.9,1.1,1.2,0.7,0.6,0.6,0.6,0.5,19279,2824,28337,3006
Aibonito,72009,8592,286,23.4,3.0,13.6,2.5,21.2,3.4,15.6,2.9,11.7,2.7,9.8,2.3,2.0,0.9,2.5,1.4,0.2,0.3,0.1,0.2,20521,1842,28529,2460
Añasco,72011,8848,383,24.8,3.1,14.6,2.4,20.5,2.9,13.4,2.3,12.6,2.6,8.3,2.1,2.5,1.3,2.2,1.3,0.4,0.6,0.6,0.5,19919,1785,28080,2290
Arecibo,72013,31910,668,30.2,1.5,12.0,1.2,20.2,1.7,12.7,1.3,11.7,1.3,9.1,1.2,2.6,0.5,1.0,0.4,0.3,0.2,0.3,0.2,18647,1014,25841,1134
Arroyo,72015,5908,321,29.3,4.4,16.3,4.0,19.6,4.4,17.6,4.3,9.1,3.1,5.1,2.5,0.8,0.9,2.0,1.4,0.0,0.8,0.2,0.4,17570,2630,22785,1989
Barceloneta,72017,7989,322,31.2,4.5,12.5,3.2,21.2,3.9,11.2,3.0,11.5,3.4,7.2,2.5,3.4,1.6,1.5,1.2,0.3,0.4,0.0,0.6,17154,1861,24569,2453
Barranquitas,72019,8720,334,31.4,3.8,12.0,2.5,20.4,3.5,14.5,3.1,10.8,2.7,7.1,2.1,1.3,0.7,1.9,1.3,0.0,0.5,0.5,0.8,17036,1344,24466,2644
Bayamón,72021,67476,812,21.0,1.1,9.2,0.8,17.9,0.9,12.4,0.9,14.5,1.0,14.4,0.8,5.8,0.5,3.1,0.4,0.9,0.2,0.6,0.1,26420,854,36791,941
Cabo Rojo,72023,15473,618,32.3,2.7,13.5,1.9,18.9,2.1,12.3,1.9,9.0,1.3,8.2,1.7,3.2,1.0,1.8,0.8,0.5,0.5,0.4,0.4,16708,1113,26366,2271
Caguas,72025,48184,579,22.4,1.4,10.6,1.0,16.8,1.1,12.3,1.0,13.0,1.2,12.5,1.1,5.7,0.9,4.1,0.7,1.5,0.5,1.0,0.4,25136,984,38398,1806
Camuy,72027,11394,370,28.4,2.7,15.6,2.3,21.1,3.0,12.1,2.1,8.7,1.8,9.2,2.0,2.5,1.0,1.8,1.0,0.2,0.2,0.4,0.3,17000,1062,27120,2639
Canóvanas,72029,14643,383,23.3,2.5,12.2,2.1,20.2,2.1,10.3,1.6,14.9,2.3,8.8,1.6,5.0,1.3,3.5,1.0,1.0,0.5,0.9,0.5,21267,1431,35074,2729
Carolina,72031,61909,915,17.9,1.1,8.5,0.8,17.3,1.2,14.3,1.1,14.9,1.0,15.0,1.3,5.9,0.6,4.2,0.7,0.9,0.3,1.1,0.2,29059,1122,40550,1353
Cataño,72033,8706,299,33.6,2.8,10.4,1.8,14.4,2.2,9.6,2.0,11.9,2.4,9.1,1.9,4.5,1.2,4.7,1.2,1.0,0.6,0.8,0.6,17448,1665,31643,1992
Cayey,72035,16213,416,24.7,2.4,10.8,1.3,20.8,2.5,12.3,1.7,12.6,2.0,10.0,1.6,4.3,1.2,2.7,0.8,1.0,0.6,0.7,0.5,22518,1296,32096,1924
Ceiba,72037,4224,254,26.4,4.4,12.8,3.8,21.9,4.6,16.7,4.0,12.2,3.4,5.0,2.2,2.1,1.4,2.6,1.8,0.0,1.1,0.4,0.4,18309,1904,28127,4414
Ciales,72039,5831,228,31.3,3.8,13.5,2.6,22.9,4.0,8.7,2.3,14.7,3.0,5.9,2.2,1.9,1.4,0.8,0.6,0.2,0.2,0.2,0.3,16867,1210,24028,3277
Cidra,72041,12942,346,25.7,2.0,12.8,1.8,21.1,2.4,10.9,1.6,13.2,1.8,9.2,1.4,3.6,1.2,2.4,0.8,0.6,0.4,0.3,0.3,19726,1328,29203,1556
Coamo,72043,13104,371,27.4,3.2,13.8,2.2,17.4,2.6,14.1,2.2,11.2,2.0,9.9,1.7,3.7,1.3,1.4,0.9,0.3,0.3,0.7,0.6,19692,1707,28309,1567
Comerío,72045,5565,275,37.3,4.6,17.3,3.2,19.4,3.4,9.6,2.4,9.0,2.5,5.2,1.8,1.7,1.0,0.4,0.7,0.0,0.8,0.0,0.8,13733,1218,19046,1718
Corozal,72047,10535,422,36.4,3.6,13.2,2.6,16.3,3.2,11.9,2.4,10.9,2.5,7.9,2.1,2.3,1.2,0.4,0.5,0.6,0.5,0.0,0.4,15140,1353,22554,1548
Culebra,72049,482,72,17.4,6.5,17.0,6.1,17.6,6.3,16.2,6.8,14.9,5.5,9.5,4.8,3.7,3.2,1.2,2.0,2.3,2.4,0.0,8.9,23333,5698,32493,5257
Dorado,72051,11602,425,18.3,2.8,8.6,1.9,18.0,2.5,9.9,2.3,12.0,2.2,14.8,2.8,8.0,2.1,5.2,1.8,2.5,1.0,2.7,1.1,30732,2556,49071,4598
Fajardo,72053,12298,369,27.7,2.6,10.5,2.1,21.7,2.4,13.5,2.1,12.9,2.3,7.1,1.6,4.3,1.2,1.6,0.8,0.4,0.3,0.5,0.3,19430,1315,30543,3482
Florida,72054,4271,235,21.8,5.5,13.3,4.7,26.9,5.8,13.0,3.6,13.2,4.4,8.6,3.5,1.2,1.6,1.8,2.1,0.0,1.0,0.0,1.0,20442,3361,24865,2920
Guánica,72055,5515,289,40.3,3.7,16.6,3.3,19.3,3.1,10.3,2.2,7.6,1.9,5.0,1.9,0.5,0.4,0.1,0.2,0.0,0.8,0.3,0.4,12995,1031,17873,1708
Guayama,72057,14022,480,29.9,2.9,14.4,2.0,20.3,2.6,11.6,1.9,10.5,2.3,7.3,2.0,3.9,1.1,1.7,0.8,0.1,0.2,0.2,0.3,17261,1222,26081,2294
Guayanilla,72059,6510,253,27.4,3.6,16.5,2.8,21.4,2.7,13.3,2.4,11.3,2.5,6.6,1.7,2.8,1.3,0.5,0.5,0.0,0.7,0.2,0.2,17379,1449,24024,1624
Guaynabo,72061,30758,587,15.2,1.5,9.4,1.1,13.9,1.3,10.6,1.4,11.9,1.2,13.4,1.2,8.0,1.0,7.7,1.1,4.1,0.8,5.8,0.9,35928,1674,64404,3480
Gurabo,72063,14529,376,18.5,3.2,7.7,1.8,12.8,2.3,10.9,2.5,14.8,2.6,14.2,2.6,7.4,2.1,8.0,2.3,3.7,1.7,1.9,1.1,35018,3092,53197,5883
Hatillo,72065,14160,438,27.5,3.1,15.0,2.5,18.4,2.3,11.1,2.3,11.1,2.6,9.9,2.0,4.4,1.4,2.1,1.0,0.3,0.3,0.3,0.3,17715,1548,28445,2206
Hormigueros,72067,6255,279,25.9,3.9,14.0,2.8,24.1,3.6,10.6,2.6,12.6,2.9,7.8,2.3,2.5,1.1,1.9,1.2,0.1,0.2,0.6,0.7,19030,1578,29039,4010
Humacao,72069,17615,501,24.0,2.1,13.2,1.8,21.8,2.3,15.2,1.9,10.8,1.7,8.2,1.4,3.1,0.9,1.9,0.7,0.6,0.4,1.2,0.6,20434,1486,32365,3471
Isabela,72071,14670,542,32.0,2.8,14.6,2.1,20.0,2.3,12.8,2.3,10.3,1.8,6.3,1.4,2.6,0.9,1.0,0.6,0.2,0.2,0.2,0.2,16540,1554,23164,1479
Jayuya,72073,4837,268,35.5,6.1,14.8,4.0,21.7,4.3,14.1,4.5,5.3,2.6,5.2,2.7,2.3,1.5,1.0,1.1,0.0,0.9,0.0,0.9,14808,2882,20181,2522
Juana Díaz,72075,15408,378,26.5,2.2,12.5,1.6,18.6,2.3,12.4,1.9,14.5,1.9,9.7,1.6,2.7,0.8,2.5,0.9,0.3,0.3,0.3,0.3,20657,1290,29277,2305
Juncos,72077,12558,445,29.4,3.2,10.2,1.9,21.2,2.8,10.5,2.0,12.5,2.2,10.3,2.4,4.4,1.8,1.3,0.8,0.0,0.4,0.3,0.4,19605,1249,27511,2148
Lajas,72079,7665,414,37.8,3.8,16.3,3.1,19.0,3.4,10.6,2.5,8.6,2.2,5.3,1.7,1.4,0.9,0.7,0.6,0.3,0.3,0.1,0.2,13992,1071,20096,1873
Lares,72081,9967,324,35.9,2.9,10.6,1.9,19.8,2.3,11.9,2.2,11.5,2.5,7.1,1.6,1.3,0.7,1.3,0.9,0.6,0.5,0.1,0.1,16532,1542,23569,2359
Las Marías,72083,2708,218,38.3,6.9,14.0,4.5,14.5,4.5,9.4,3.6,15.2,4.4,6.7,3.3,1.3,1.9,0.6,0.6,0.0,1.6,0.0,1.6,14135,2737,20574,2675
Las Piedras,72085,12376,399,23.2,2.9,12.8,2.4,19.7,2.9,14.5,2.6,12.4,2.2,8.9,2.0,4.5,1.7,2.9,1.5,0.3,0.4,0.6,0.6,21667,2132,30898,2353
Loíza,72087,8508,286,30.2,2.8,12.1,2.2,19.5,2.7,11.7,2.0,14.4,2.4,8.3,1.8,2.4,1.0,1.5,0.7,0.0,0.5,0.0,0.5,17852,1834,24609,1368
Luquillo,72089,6582,259,25.6,2.8,7.6,2.0,23.6,3.0,15.5,2.7,14.1,2.8,7.0,1.7,4.3,1.4,1.4,1.0,0.5,0.5,0.5,0.6,21850,1845,28706,2176
Manatí,72091,14825,455,28.9,2.4,13.8,2.0,18.7,2.2,11.8,1.6,10.4,1.8,10.0,1.9,3.4,1.0,2.4,0.8,0.4,0.4,0.2,0.2,18502,1579,28089,2036
Maricao,72093,1846,158,41.1,5.9,12.2,3.9,19.0,5.4,17.1,5.2,6.4,3.6,3.7,2.3,0.5,0.6,0.0,2.4,0.0,2.4,0.0,2.4,12441,3490,16881,1788
Maunabo,72095,3833,216,25.0,5.5,9.9,3.7,24.8,5.4,15.3,4.4,14.7,4.3,8.5,3.7,1.3,1.4,0.5,0.7,0.0,1.2,0.0,1.2,20844,2811,24582,2345
Mayagüez,72097,29682,681,39.7,1.7,11.7,1.3,17.6,1.5,8.5,1.1,9.5,1.3,6.7,0.9,2.9,0.7,1.9,0.4,0.7,0.2,0.8,0.3,14236,906,25846,1333
Moca,72099,13374,384,34.5,3.4,15.4,2.7,17.2,2.6,11.0,2.3,9.4,1.9,7.6,1.6,2.0,1.0,1.5,0.7,0.3,0.3,1.0,0.7,15037,1354,26343,3569
Morovis,72101,9645,326,21.7,2.9,11.4,2.1,27.3,3.1,14.5,2.2,12.0,2.2,8.1,1.9,3.5,1.2,0.7,0.7,0.2,0.3,0.5,0.6,20941,1194,27636,1873
Naguabo,72103,8058,446,22.9,4.2,14.6,3.7,25.2,4.4,13.8,3.2,10.4,3.4,10.9,3.4,1.8,1.3,0.0,0.6,0.5,0.8,0.0,0.6,19432,2165,24881,2155
Naranjito,72105,8424,357,31.3,3.9,10.3,3.0,20.5,3.3,12.9,2.7,9.9,3.3,10.5,3.1,3.2,1.5,1.2,0.9,0.2,0.3,0.1,0.2,18883,2411,25488,1980
Orocovis,72107,6759,231,35.0,3.3,14.8,2.4,19.6,2.9,13.0,2.6,9.5,1.9,5.4,1.4,1.5,1.0,0.7,0.5,0.4,0.4,0.2,0.2,15099,1315,21724,2076
Patillas,72109,6144,304,31.3,4.0,16.0,3.4,22.7,4.0,11.9,2.3,8.3,2.6,6.3,2.5,2.4,1.3,0.5,0.6,0.0,0.7,0.5,0.6,16007,1451,23098,3044
Peñuelas,72111,6863,284,29.8,3.7,14.2,2.5,19.8,3.6,13.2,2.5,13.1,2.6,6.0,1.9,1.8,0.9,1.2,0.8,0.1,0.1,0.8,0.5,16718,889,26177,2586
Ponce,72113,52042,709,32.9,1.2,12.4,0.9,17.9,1.2,11.6,1.0,11.0,1.0,7.2,0.8,3.5,0.5,1.8,0.4,0.8,0.3,0.9,0.2,17069,675,28472,1194
Quebradillas,72115,8083,328,29.8,4.7,15.1,3.5,20.6,4.0,10.2,2.7,12.5,3.0,8.6,2.5,1.2,0.8,1.6,1.1,0.2,0.3,0.2,0.3,17473,2019,25722,3018
Rincón,72117,5018,322,30.3,4.4,8.3,2.6,15.2,3.7,14.7,3.8,12.5,3.0,12.7,3.4,3.1,1.8,2.7,1.4,0.0,0.9,0.5,0.6,19907,2931,29671,2702
Río Grande,72119,15635,463,23.5,2.3,10.1,1.7,21.4,2.3,13.5,1.9,14.2,1.7,10.8,1.7,3.4,1.0,2.2,0.9,0.9,0.6,0.1,0.1,22669,1088,30629,1738
Sabana Grande,72121,7061,299,27.4,3.1,17.2,2.6,19.3,3.2,12.9,2.5,10.6,2.4,8.1,2.0,2.3,1.2,1.9,1.0,0.1,0.1,0.1,0.1,17319,1534,25961,2150
Salinas,72123,10036,398,29.0,3.4,12.9,2.4,20.3,3.1,14.6,2.8,11.7,2.6,7.9,2.0,2.3,1.1,0.9,0.6,0.2,0.3,0.2,0.2,18189,1690,24490,1749
San Germán,72125,11722,391,33.0,3.1,13.8,2.5,18.8,2.5,13.0,2.2,9.0,1.9,7.4,1.3,2.2,0.9,1.9,0.8,0.3,0.4,0.6,0.5,16486,1418,25855,2239
San Juan,72127,142699,1447,28.4,0.8,9.8,0.5,14.6,0.7,10.8,0.5,10.9,0.5,10.6,0.5,5.6,0.4,4.7,0.4,2.0,0.3,2.4,0.3,22710,718,43589,1549
San Lorenzo,72129,13772,381,26.4,2.4,13.0,1.6,20.8,2.4,12.9,2.1,10.8,1.8,10.6,1.8,2.7,0.9,2.3,0.8,0.0,0.3,0.4,0.6,19380,1419,27967,2086
San Sebastián,72131,13313,410,34.5,3.3,14.6,2.4,19.7,2.6,10.4,2.0,9.7,2.2,7.1,1.8,2.1,0.9,0.9,0.6,0.5,0.6,0.4,0.4,15331,1214,24295,2730
Santa Isabel,72133,7367,380,22.8,4.0,17.6,3.3,18.1,3.6,10.8,2.5,14.1,3.1,10.9,2.7,2.9,1.3,2.3,1.3,0.4,0.5,0.2,0.3,19827,2150,28965,2786
Toa Alta,72135,22138,482,19.3,1.9,8.1,1.3,16.8,2.0,13.9,1.9,12.5,1.6,14.2,1.6,7.2,1.3,5.7,1.3,1.3,0.5,0.8,0.4,28834,1466,41799,2246
Toa Baja,72137,27400,488,22.7,1.7,9.6,1.1,17.5,1.6,13.2,1.3,14.2,1.6,13.2,1.5,5.9,1.0,3.0,0.7,0.4,0.3,0.3,0.3,25105,1231,33781,1437
Trujillo Alto,72139,23800,500,15.9,1.5,9.3,1.6,15.6,1.8,12.2,1.5,15.5,1.7,15.9,1.6,7.4,1.2,5.3,0.9,1.8,0.6,1.1,0.4,32545,1448,44177,1930
Utuado,72141,9593,341,35.6,3.3,13.4,2.0,18.3,2.4,13.4,2.2,9.9,1.9,6.3,1.5,1.8,0.9,0.9,0.7,0.1,0.1,0.2,0.3,15399,1325,21654,1615
Vega Alta,72143,11918,486,24.7,2.9,12.8,2.3,21.5,2.5,10.5,2.2,11.1,2.5,8.8,1.8,5.0,1.5,3.8,1.6,0.8,0.7,1.0,0.7,20048,1547,33529,2741
Vega Baja,72145,18721,486,27.0,1.8,12.6,1.9,18.4,1.8,12.9,1.9,12.1,1.7,10.2,1.6,4.1,1.1,1.8,0.7,0.4,0.4,0.4,0.3,19617,1054,28805,1358
Vieques,72147,2258,248,25.2,6.9,25.2,7.6,16.2,6.1,14.7,5.3,10.9,4.3,4.6,3.1,1.0,1.8,2.3,3.0,0.0,2.0,0.0,2.0,14936,1999,22742,3228
Villalba,72149,7908,255,25.5,2.8,13.9,2.4,18.6,2.7,14.5,2.8,13.5,2.5,9.7,2.1,2.6,1.1,1.4,0.9,0.3,0.5,0.2,0.2,19877,1983,29612,4806
Yabucoa,72151,11541,389,31.0,3.7,15.7,2.6,18.1,2.6,14.3,2.4,7.9,2.0,8.4,2.1,2.8,1.3,1.6,0.9,0.1,0.2,0.1,0.1,16295,1482,24078,2117
Yauco,72153,10990,429,36.8,2.7,13.9,2.1,17.4,2.2,12.0,2.0,10.2,1.8,6.4,1.2,1.9,0.7,1.2,0.5,0.1,0.1,0.0,0.1,14743,980,21722,999